channel,unit_id,spike_time_sec,is_mua,is_noise
0,1,2.7151,True,False
0,1,3.292125,True,False
0,1,3.2944,True,False
0,1,3.32245,True,False
0,1,17.035225,True,False
0,1,17.08555,True,False
0,1,17.1047,True,False
0,1,17.13525,True,False
0,1,17.33515,True,False
0,1,17.378925,True,False
0,1,17.9351,True,False
0,1,27.313875,True,False
0,1,27.61385,True,False
0,1,27.739925,True,False
0,1,27.745375,True,False
0,1,27.8904,True,False
0,1,27.913775,True,False
0,1,27.971975,True,False
0,1,28.05535,True,False
0,1,28.05765,True,False
0,1,28.26475,True,False
0,1,28.52475,True,False
0,1,29.709825,True,False
0,1,29.98895,True,False
0,1,29.99355,True,False
0,1,31.04165,True,False
0,1,32.74155,True,False
0,1,35.31865,True,False
0,1,35.36,True,False
0,1,35.457125,True,False
0,1,35.460025,True,False
0,1,35.474775,True,False
0,1,35.4981,True,False
0,1,35.5556,True,False
0,1,35.6147,True,False
0,1,35.69815,True,False
0,1,35.741225,True,False
0,1,35.798025,True,False
0,1,35.8081,True,False
0,1,35.81095,True,False
0,1,35.82655,True,False
0,1,35.831425,True,False
0,1,35.858075,True,False
0,1,35.88135,True,False
0,1,35.888925,True,False
0,1,35.8915,True,False
0,1,35.898075,True,False
0,1,35.924775,True,False
0,1,35.95975,True,False
0,1,35.96475,True,False
0,1,35.974825,True,False
0,1,35.97655,True,False
0,1,36.059875,True,False
0,1,36.074775,True,False
0,1,36.224525,True,False
0,1,36.226475,True,False
0,1,36.473775,True,False
0,1,37.4123,True,False
0,1,37.593425,True,False
0,1,37.6934,True,False
0,1,37.79345,True,False
0,1,38.1437,True,False
0,1,39.047625,True,False
0,1,39.069125,True,False
0,1,39.107675,True,False
0,1,42.893125,True,False
0,1,42.9685,True,False
0,1,43.205575,True,False
0,1,43.3247,True,False
0,1,43.343025,True,False
0,1,43.358025,True,False
0,1,43.3914,True,False
0,1,43.408075,True,False
0,1,43.4246,True,False
0,1,43.4265,True,False
0,1,43.45335,True,False
0,1,43.49145,True,False
0,1,43.514625,True,False
0,1,43.5262,True,False
0,1,43.556975,True,False
0,1,43.557975,True,False
0,1,43.559875,True,False
0,1,48.971975,True,False
0,1,50.52415,True,False
0,1,57.269125,True,False
0,1,57.569075,True,False
0,1,57.66905,True,False
0,1,57.769025,True,False
0,1,57.869,True,False
0,1,58.1689,True,False
0,1,67.345275,True,False
0,1,67.366175,True,False
0,1,67.445275,True,False
0,1,67.545225,True,False
0,1,67.6452,True,False
0,1,67.745225,True,False
0,1,67.7695,True,False
0,1,67.845175,True,False
0,1,67.94515,True,False
0,1,68.095475,True,False
0,1,68.107125,True,False
0,1,68.148425,True,False
0,1,77.5992,True,False
0,1,77.799175,True,False
0,1,77.842175,True,False
0,1,77.899125,True,False
0,1,78.0991,True,False
0,1,78.2991,True,False
0,1,84.1421,True,False
0,1,84.149475,True,False
0,1,84.298325,True,False
0,1,84.529325,True,False
0,1,84.862775,True,False
0,1,85.2204,True,False
0,1,85.242425,True,False
0,1,85.27595,True,False
0,1,85.6747,True,False
0,1,85.677175,True,False
0,1,85.6839,True,False
0,1,85.7095,True,False
0,1,86.4158,True,False
0,1,86.41805,True,False
0,1,86.48265,True,False
0,1,87.35065,True,False
0,1,87.450625,True,False
0,1,87.550625,True,False
0,1,87.650625,True,False
0,1,87.7506,True,False
0,1,87.85055,True,False
0,1,88.05055,True,False
0,1,88.250525,True,False
0,1,97.423625,True,False
0,1,97.52365,True,False
0,1,97.623625,True,False
0,1,97.7236,True,False
0,1,97.9236,True,False
0,1,98.223475,True,False
0,1,98.323475,True,False
0,1,100.19185,True,False
0,1,103.93655,True,False
0,1,107.47475,True,False
0,2,2.772125,True,False
0,2,2.80555,True,False
0,2,2.82225,True,False
0,2,2.85055,True,False
0,2,3.2962,True,False
0,2,3.308375,True,False
0,2,3.3106,True,False
0,2,17.18555,True,False
0,2,17.285525,True,False
0,2,17.3855,True,False
0,2,17.485525,True,False
0,2,17.785425,True,False
0,2,27.16425,True,False
0,2,27.2642,True,False
0,2,27.464225,True,False
0,2,27.5642,True,False
0,2,27.66415,True,False
0,2,27.731275,True,False
0,2,27.7646,True,False
0,2,27.91695,True,False
0,2,27.96405,True,False
0,2,27.965525,True,False
0,2,27.97425,True,False
0,2,27.977075,True,False
0,2,28.01455,True,False
0,2,28.017,True,False
0,2,28.05995,True,False
0,2,28.14245,True,False
0,2,28.241325,True,False
0,2,28.257575,True,False
0,2,28.259725,True,False
0,2,28.26695,True,False
0,2,28.4519,True,False
0,2,29.9909,True,False
0,2,30.4505,True,False
0,2,30.9003,True,False
0,2,31.393475,True,False
0,2,35.350275,True,False
0,2,35.36695,True,False
0,2,35.455175,True,False
0,2,35.46695,True,False
0,2,35.4792,True,False
0,2,35.490375,True,False
0,2,35.50035,True,False
0,2,35.507025,True,False
0,2,35.553025,True,False
0,2,35.5687,True,False
0,2,35.5777,True,False
0,2,35.600325,True,False
0,2,35.6169,True,False
0,2,35.6336,True,False
0,2,35.6777,True,False
0,2,35.742875,True,False
0,2,35.750225,True,False
0,2,35.752,True,False
0,2,35.76685,True,False
0,2,35.77355,True,False
0,2,35.790425,True,False
0,2,35.806925,True,False
0,2,35.82365,True,False
0,2,35.866925,True,False
0,2,35.8736,True,False
0,2,35.90025,True,False
0,2,35.907025,True,False
0,2,35.923625,True,False
0,2,35.933575,True,False
0,2,35.9502,True,False
0,2,35.9609,True,False
0,2,35.96685,True,False
0,2,35.9686,True,False
0,2,35.98355,True,False
0,2,36.00015,True,False
0,2,36.0052,True,False
0,2,36.016875,True,False
0,2,36.023675,True,False
0,2,36.033525,True,False
0,2,36.050125,True,False
0,2,36.051975,True,False
0,2,36.057075,True,False
0,2,36.0669,True,False
0,2,36.077575,True,False
0,2,36.0813,True,False
0,2,36.083525,True,False
0,2,36.110025,True,False
0,2,36.162375,True,False
0,2,36.17365,True,False
0,2,36.183575,True,False
0,2,36.2002,True,False
0,2,36.229475,True,False
0,2,36.423425,True,False
0,2,36.468525,True,False
0,2,37.711475,True,False
0,2,37.7161,True,False
0,2,37.74375,True,False
0,2,37.74525,True,False
0,2,37.7478,True,False
0,2,38.094125,True,False
0,2,38.995825,True,False
